tv_show_name,active
Timon & Pumbaa,1
Charmed,0
The Simpsons,0
Hercules,0
Tom and Jerry,1
The Office (US),1
Lost,1
Prison Break,1
SpongeBob SquarePants,1
The Flintstones,1
The Powerpuff Girls,1
Jackie Chan Adventures,1
Mr. Bean: The Animated Series,1
Kim Possible,1
Danny Phantom,1
My Life as a Teenage Robot,1
Supernatural,1
Friends,1
Dexter,1
Death Note,1
Ben 10,1
Breaking Bad,1
One Piece,1
Ben 10: Alien Force,1
Phineas and Ferb,1
Fullmetal Alchemist: Brotherhood,1
Game of Thrones,1
Adventure Time,1
The Walking Dead,1
Ben 10: Ultimate Alien,1
Teen Wolf,1
Sherlock,1
Regular Show,1
The Amazing World of Gumball,1
Hunter x Hunter (2011),1
Baby and Me,1
Black Mirror,1
Hannibal,1
Vikings,1
Ben 10: Omniverse,1
Dragons,1
"Remi, Nobody's Girl",1
JoJo's Bizarre Adventure (2012),1
El Kebeer,1
Attack on Titan,1
The 100,1
True Detective,1
Peaky Blinders,1
Better Call Saul,1
Rick and Morty,1
The Flash (2014),1
Over the Garden Wall,1
Marvel's Daredevil,1
I Won't Live in My Father's Robes,1
Mr. Robot,1
One-Punch Man,1
Lucifer,1
And Then There Were None,1
11.22.63,1
Erased,1
My Hero Academia,1
Stranger Things,1
The Crown,1
Nelly and Sherihan,1
Fleabag,1
Ugly Heba,1
A Girl Named Zat,1
Attack on Titan: Counter Rockets,0
The Handmaid's Tale,1
Anne with an E,1
13 Reasons Why,1
Money Heist,1
The Good Doctor,1
MINDHUNTER,1
The Last of The Schmucks,1
Hagg Metwally's Family,1
Marvel's The Punisher,1
The End of the F***ing World,1
Seventh Neighbor,1
You,1
Succession,1
Demon Slayer: Kimetsu no Yaiba,1
Hercules,0
The Umbrella Academy,1
Attack on Titan: Lost Girls,1
Kaguya-sama: Love Is War,1
The Boys,1
Dr. STONE,1
"Love, Death & Robots",1
Prison Break,1
When They See Us,1
Chernobyl,1
See,1
Loki,1
The Falcon and The Winter Soldier,1
The Witcher,1
Marianne,1
Al Daheeh,1
21 Jump Street,1
What If…?,1
Moon Knight,1
Ms. Marvel,1
Arcane,1
House of the Dragon,1
I Am Not Okay With This,1
Most Dangerous Game,1
Love 101,1
Multifaceted,1
Ted Lasso,1
Squid Game,1
The Queen's Gambit,1
Monster (2022),1
Midnight at the Pera Palace,1
Wednesday,1
Naguib Zahi Zarkash,1
Platinum End,1
Kaguya-sama: Love Is War Mini,0
Love Like the Galaxy,0
