series_name,season_number,episode_number,vote
Avatar: The Last Airbender,3,5,3
Avatar: The Last Airbender,2,20,3
Tom and Jerry,1960,17,3
Avatar: The Last Airbender,3,21,3
Game of Thrones,1,8,29
Game of Thrones,1,5,29
Game of Thrones,1,7,29
Game of Thrones,1,9,3
Game of Thrones,1,10,3
Game of Thrones,2,1,29
Black Mirror,1,1,3
Black Mirror,1,2,3
Game of Thrones,2,2,29
Game of Thrones,2,3,3
Game of Thrones,2,6,29
Game of Thrones,2,10,3
Black Mirror,2,1,29
Black Mirror,2,3,29
JoJo's Bizarre Adventure (2012),1,13,3
JoJo's Bizarre Adventure (2012),1,20,3
Attack on Titan,1,1,3
Adventure Time,6,1,3
Game of Thrones,4,1,3
Rick and Morty,1,5,29
Rick and Morty,1,6,3
Rick and Morty,1,7,29
Rick and Morty,1,11,3
Hannibal,2,9,29
Hannibal,2,4,29
Hannibal,2,5,29
Hannibal,2,6,3
Hannibal,2,7,29
Hannibal,2,8,29
Hannibal,2,10,29
Hannibal,2,11,29
Game of Thrones,4,2,3
Game of Thrones,4,3,29
Game of Thrones,4,5,3
Game of Thrones,4,10,3
JoJo's Bizarre Adventure (2012),2,5,3
Hannibal,2,12,3
Hannibal,2,13,3
Adventure Time,6,2,3
Adventure Time,6,3,3
JoJo's Bizarre Adventure (2012),2,21,3
The Legend of Korra,3,13,3
Hannibal,3,1,29
Hannibal,3,2,29
Hannibal,3,4,29
Hannibal,3,5,3
Hannibal,3,6,3
Better Call Saul,1,2,3
Better Call Saul,1,3,29
Black Mirror,0,1,3
Better Call Saul,1,4,3
Better Call Saul,1,5,29
Better Call Saul,1,6,3
Better Call Saul,1,7,3
Better Call Saul,1,8,3
Better Call Saul,1,9,3
Better Call Saul,1,10,3
Game of Thrones,5,2,29
Game of Thrones,5,3,29
Game of Thrones,5,4,3
Game of Thrones,5,5,3
Game of Thrones,5,6,3
Game of Thrones,5,7,3
Game of Thrones,5,8,3
Game of Thrones,5,9,3
Game of Thrones,5,10,3
Rick and Morty,2,1,3
Marvel's Jessica Jones,1,1,3
Marvel's Jessica Jones,1,2,3
Marvel's Jessica Jones,1,3,3
Marvel's Jessica Jones,1,13,3
Better Call Saul,2,1,29
Game of Thrones,6,1,3
Better Call Saul,2,2,3
Better Call Saul,2,3,3
Better Call Saul,2,5,3
Better Call Saul,2,6,3
Marvel's Luke Cage,1,1,29
Better Call Saul,2,7,3
Better Call Saul,2,8,3
Better Call Saul,2,9,3
Better Call Saul,2,10,3
Game of Thrones,6,2,3
Game of Thrones,6,3,3
Game of Thrones,6,4,3
Game of Thrones,6,5,3
Game of Thrones,6,6,3
Game of Thrones,6,7,3
Game of Thrones,6,8,3
Game of Thrones,6,9,3
Game of Thrones,6,10,3
JoJo's Bizarre Adventure (2012),3,14,3
JoJo's Bizarre Adventure (2012),3,15,3
JoJo's Bizarre Adventure (2012),3,16,3
JoJo's Bizarre Adventure (2012),3,17,3
JoJo's Bizarre Adventure (2012),3,18,3
JoJo's Bizarre Adventure (2012),3,19,3
JoJo's Bizarre Adventure (2012),3,20,3
Fleabag,1,1,3
Fleabag,1,2,29
Fleabag,1,3,29
Fleabag,1,4,29
Fleabag,1,6,3
Black Mirror,3,4,29
Black Mirror,3,3,3
Black Mirror,3,1,29
Black Mirror,3,5,29
Black Mirror,3,6,3
Black Mirror,3,2,3
JoJo's Bizarre Adventure (2012),3,21,3
Marvel's Luke Cage,1,13,3
Better Call Saul,3,1,3
Marvel's Iron Fist,1,6,3
Marvel's Iron Fist,1,9,3
13 Reasons Why,1,1,3
13 Reasons Why,1,2,3
13 Reasons Why,1,3,3
13 Reasons Why,1,4,3
13 Reasons Why,1,5,3
13 Reasons Why,1,6,29
Better Call Saul,3,2,3
Better Call Saul,3,3,3
Better Call Saul,3,4,3
Better Call Saul,3,5,3
Better Call Saul,3,6,3
Better Call Saul,3,7,29
Better Call Saul,3,8,3
Better Call Saul,3,9,3
Better Call Saul,3,10,3
Black Mirror,4,2,3
Black Mirror,4,1,3
Black Mirror,4,3,3
Black Mirror,4,4,3
Black Mirror,4,5,28
Black Mirror,4,6,3
Game of Thrones,7,5,3
Game of Thrones,7,1,3
Rick and Morty,3,9,3
Game of Thrones,7,7,3
Marvel's The Punisher,1,5,3
Marvel's The Punisher,1,6,3
Marvel's The Punisher,1,12,3
Marvel's The Punisher,1,13,3
Rick and Morty,3,8,3
Rick and Morty,3,10,3
Marvel's Jessica Jones,2,2,29
Marvel's Jessica Jones,2,3,29
Marvel's Jessica Jones,2,4,29
Adventure Time,10,13,3
Marvel's Luke Cage,2,2,29
Marvel's Luke Cage,2,6,29
13 Reasons Why,2,6,3
13 Reasons Why,2,7,3
13 Reasons Why,2,8,3
13 Reasons Why,2,9,3
13 Reasons Why,2,10,3
13 Reasons Why,2,11,3
13 Reasons Why,2,12,3
13 Reasons Why,2,13,3
Better Call Saul,4,6,3
Better Call Saul,4,9,3
Marvel's Daredevil,3,2,3
Marvel's Daredevil,3,3,3
Marvel's Daredevil,3,4,3
Marvel's Daredevil,3,5,3
Marvel's Daredevil,3,6,3
Marvel's Daredevil,3,7,3
Marvel's Daredevil,3,9,3
Marvel's Daredevil,3,10,3
Marvel's Daredevil,3,11,3
Marvel's Daredevil,3,12,3
Marvel's Daredevil,3,13,3
Marvel's Daredevil,3,1,3
Marvel's Daredevil,3,8,3
Fleabag,2,1,3
Kaguya-sama: Love Is War,1,2,3
Kaguya-sama: Love Is War,1,3,3
Kaguya-sama: Love Is War,1,4,3
Kaguya-sama: Love Is War,1,5,3
Kaguya-sama: Love Is War,1,6,3
Kaguya-sama: Love Is War,1,7,3
Kaguya-sama: Love Is War,1,8,3
Kaguya-sama: Love Is War,1,9,3
Kaguya-sama: Love Is War,1,10,3
Kaguya-sama: Love Is War,1,11,3
Kaguya-sama: Love Is War,1,12,3
Marvel's The Punisher,2,4,3
Marvel's The Punisher,2,13,3
Fleabag,2,2,29
Fleabag,2,3,3
Fleabag,2,4,3
Game of Thrones,8,1,3
Game of Thrones,8,2,3
Game of Thrones,8,3,3
Game of Thrones,8,4,3
Game of Thrones,8,5,28
Game of Thrones,8,6,3
The Boys,1,1,29
Black Mirror,5,3,3
Rick and Morty,4,1,3
Black Mirror,5,1,29
Rick and Morty,4,7,3
The Boys,1,2,29
The Boys,1,3,3
The Boys,1,4,3
The Boys,1,6,3
The Boys,1,7,29
The Boys,1,8,3
13 Reasons Why,3,1,29
13 Reasons Why,3,2,3
13 Reasons Why,3,3,3
13 Reasons Why,3,4,3
13 Reasons Why,3,5,3
13 Reasons Why,3,6,3
13 Reasons Why,3,7,3
13 Reasons Why,3,8,3
13 Reasons Why,3,9,3
13 Reasons Why,3,10,3
13 Reasons Why,3,11,3
13 Reasons Why,3,12,3
13 Reasons Why,3,13,3
Rick and Morty,4,2,3
Rick and Morty,4,3,3
Rick and Morty,4,4,3
Rick and Morty,4,5,3
Better Call Saul,5,2,3
Stranger Things,4,1,29
Better Call Saul,5,5,3
Rick and Morty,4,6,3
Rick and Morty,4,8,3
Rick and Morty,4,9,3
Rick and Morty,4,10,3
The Boys,2,1,29
Monster (2022),1,1,29
WandaVision,1,1,29
WandaVision,1,2,3
My Hero Academia,5,1,3
My Hero Academia,5,2,3
My Hero Academia,5,9,3
The Falcon and The Winter Soldier,1,5,3
The Falcon and The Winter Soldier,1,6,3
What If…?,1,1,3
House of the Dragon,1,1,3
Stranger Things,4,2,29
Stranger Things,4,3,3
Rick and Morty,5,8,1
Rick and Morty,5,9,3
Rick and Morty,5,10,3
My Hero Academia,5,14,3
Midnight at the Pera Palace,1,1,29
Midnight at the Pera Palace,1,2,29
Midnight at the Pera Palace,1,3,3
What If…?,1,2,3
What If…?,1,4,3
What If…?,1,5,3
Hawkeye (2021),1,6,3
Stranger Things,4,4,29
Stranger Things,4,5,29
Stranger Things,4,6,3
Stranger Things,4,7,3
Stranger Things,4,8,3
Stranger Things,4,9,3
Family Matter,1,1,29
Family Matter,1,2,3
Family Matter,1,3,29
Family Matter,1,4,29
Family Matter,1,5,3
Family Matter,1,6,3
Family Matter,1,7,3
Family Matter,1,8,3
Family Matter,1,9,3
Family Matter,1,10,3
The Boys,3,6,3
The Boys,3,7,3
The Boys,3,8,3
Attack on Titan,4,28,3
Moon Knight,1,2,3
Moon Knight,1,3,3
Moon Knight,1,4,3
Moon Knight,1,5,3
Moon Knight,1,6,3
Better Call Saul,6,1,3
Better Call Saul,6,5,3
Better Call Saul,6,6,3
Better Call Saul,6,7,3
Better Call Saul,6,8,3
Better Call Saul,6,11,3
Better Call Saul,6,13,3
Moon Knight,1,1,3
House of the Dragon,1,2,3
House of the Dragon,1,3,3
House of the Dragon,1,5,3
House of the Dragon,1,7,3
House of the Dragon,1,8,29
House of the Dragon,1,9,3
House of the Dragon,1,10,3
Gen V,1,1,3
Gen V,1,2,29
Marvel Zombies,1,1,3
Daredevil: Born Again,1,1,3
Rick and Morty,6,1,3
Rick and Morty,6,8,3
Rick and Morty,6,7,3
Rick and Morty,6,6,3
Rick and Morty,6,5,3
Rick and Morty,6,4,3
Rick and Morty,6,3,3
Rick and Morty,6,2,3
Rick and Morty,6,10,3
Monster (2022),1,2,29
Monster (2022),1,3,3
Monster (2022),1,4,3
Monster (2022),1,5,3
Monster (2022),1,6,3
Dr. STONE,3,1,3
Stranger Things,5,1,3
Family Matter,2,1,3
Family Matter,2,2,3
Family Matter,2,3,3
Attack on Titan,4,29,3
Family Matter,2,11,3
Family Matter,2,12,3
Most Dangerous Game,2,1,3
Attack on Titan,4,30,3
Most Dangerous Game,2,7,3
Most Dangerous Game,2,12,3
Dr. STONE,3,7,3
Dr. STONE,3,8,3
Dr. STONE,3,9,29
Dr. STONE,3,10,3
Dr. STONE,3,11,3
Dr. STONE,3,12,3
Dr. STONE,4,1,3
A Knight of the Seven Kingdoms,1,1,3
Black Mirror,6,1,29
Black Mirror,6,2,3
Black Mirror,6,3,3
Black Mirror,6,4,28
Black Mirror,6,5,3
Loki,2,6,3
Gen V,1,3,3
Gen V,1,4,3
Gen V,1,5,29
Gen V,1,6,3
Gen V,1,7,3
Gen V,1,8,3
Dr. STONE,3,13,3
Dr. STONE,3,14,3
Dr. STONE,3,15,3
Dr. STONE,3,16,3
Dr. STONE,3,17,3
Dr. STONE,3,18,3
Dr. STONE,3,19,3
Dr. STONE,3,20,3
Dr. STONE,3,21,3
Dr. STONE,3,22,3
Rick and Morty,7,4,29
One-Punch Man,3,1,29
Echo,1,5,3
The Boys,4,1,29
The Boys,4,2,29
House of the Dragon,2,1,3
House of the Dragon,2,2,3
House of the Dragon,2,3,3
House of the Dragon,2,4,3
House of the Dragon,2,5,3
House of the Dragon,2,6,3
House of the Dragon,2,7,3
House of the Dragon,2,8,3
My Hero Academia,7,16,3
My Hero Academia,7,21,3
Omar Affendi,1,1,29
Squid Game,2,1,3
Omar Affendi,1,13,3
Daredevil: Born Again,1,2,3
Daredevil: Born Again,1,3,3
Daredevil: Born Again,1,4,3
Daredevil: Born Again,1,5,3
Daredevil: Born Again,1,6,3
Daredevil: Born Again,1,9,3
Eyes of Wakanda,1,1,3
Eyes of Wakanda,1,2,3
Eyes of Wakanda,1,3,3
Eyes of Wakanda,1,4,3
Squid Game,2,2,3
Squid Game,2,3,29
Squid Game,2,4,3
Squid Game,2,5,29
Squid Game,2,6,29
Stranger Things,5,2,3
Stranger Things,5,3,3
Stranger Things,5,4,3
Stranger Things,5,5,29
