tv_show_name,episode_season_number,episode_number,episode_id,created_at
Game of Thrones,1,8,3360391,2022-06-28 08:45:49
Black Mirror,1,2,4201396,2022-08-25 09:05:25
Dragons,1,1,4371279,2022-05-31 21:09:10
Game of Thrones,4,1,4721938,2022-08-06 09:37:31
Rick and Morty,1,11,4743892,2022-07-19 18:36:31
Hannibal,2,9,4772306,2022-06-05 22:51:46
Hannibal,2,3,4772307,2022-06-04 18:34:53
Game of Thrones,4,2,4801602,2022-08-07 02:01:13
Hannibal,2,12,4810880,2022-06-06 09:37:11
Hannibal,3,3,5010015,2022-06-26 19:44:36
Hannibal,3,5,5010017,2022-07-06 09:50:30
Black Mirror,0,1,5057304,2022-08-28 07:04:56
Better Call Saul,2,5,5537897,2023-02-06 21:36:57
Better Call Saul,2,6,5538565,2023-02-06 22:21:22
Marvel's Luke Cage,1,1,5545823,2026-04-22 12:06:28
Game of Thrones,6,2,5579002,2022-08-12 09:04:23
Game of Thrones,6,5,5600132,2022-08-15 10:16:58
Game of Thrones,6,7,5615734,2022-08-15 10:17:36
Black Mirror,3,5,5692428,2022-08-29 08:35:55
Black Mirror,3,6,5692429,2022-08-31 08:54:41
Black Mirror,3,2,5692430,2022-08-28 09:14:39
JoJo's Bizarre Adventure (2012),3,21,5708100,2025-01-26 09:05:15
Better Call Saul,3,1,5907283,2023-02-08 10:12:27
Marvel's Iron Fist,1,6,5939619,2026-05-05 20:04:24
13 Reasons Why,1,6,5941639,2023-06-08 22:39:49
Better Call Saul,3,7,6024000,2023-02-08 20:03:02
Better Call Saul,3,9,6024003,2023-02-09 10:39:18
Black Mirror,4,3,6113563,2023-06-04 12:09:49
Game of Thrones,7,1,6185708,2022-08-16 14:05:21
Marvel's The Punisher,1,5,6286028,2026-02-14 15:02:26
Marvel's The Punisher,1,13,6286037,2026-02-16 02:32:45
Marvel's Jessica Jones,2,2,6586581,2026-05-19 22:32:08
Marvel's Jessica Jones,2,4,6586638,2026-05-20 00:28:37
